0020     SPACE
006B  k  LATIN SMALL LETTER K
006C  l  LATIN SMALL LETTER L
006D  m  LATIN SMALL LETTER M
006E  n  LATIN SMALL LETTER N
006F  o  LATIN SMALL LETTER O
0070  p  LATIN SMALL LETTER P
0071  q  LATIN SMALL LETTER Q
0072  r  LATIN SMALL LETTER R
0073  s  LATIN SMALL LETTER S
0074  t  LATIN SMALL LETTER T
0075  u  LATIN SMALL LETTER U
0076  v  LATIN SMALL LETTER V
0077  w  LATIN SMALL LETTER W
0078  x  LATIN SMALL LETTER X
0079  y  LATIN SMALL LETTER Y
007A  z  LATIN SMALL LETTER Z
007B  {  LEFT CURLY BRACKET
007C  |  VERTICAL LINE
007D  }  RIGHT CURLY BRACKET
007E  ~  TILDE
0080    <control>
0081    <control>
0082    <control>
0083    <control>
0084    <control>
0085    <control>
0086    <control>
0087    <control>
0088    <control>
0089    <control>
008A    <control>
008B    <control>
008C    <control>
008D    <control>
008E    <control>
008F    <control>
0090    <control>
0091    <control>
0092    <control>
0093    <control>
0094    <control>
0095    <control>
0096    <control>
0097    <control>
0098    <control>
0099    <control>
009A    <control>
009B    <control>
009C    <control>
009D    <control>
009E    <control>
009F    <control>
00A0     NO-BREAK SPACE
00A1  ¡  INVERTED EXCLAMATION MARK
00A2  ¢  CENT SIGN
00A3  £  POUND SIGN
00A4  ¤  CURRENCY SIGN
00A5  ¥  YEN SIGN
00A6  ¦  BROKEN BAR
00A7  §  SECTION SIGN
00A8  ¨  DIAERESIS
00A9  ©  COPYRIGHT SIGN
00AA  ª  FEMININE ORDINAL INDICATOR
00AB  «  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
00AC  ¬  NOT SIGN
00AD  ­  SOFT HYPHEN
00AE  ®  REGISTERED SIGN
00AF  ¯  MACRON
00B0  °  DEGREE SIGN
00B1  ±  PLUS-MINUS SIGN
00B2  ²  SUPERSCRIPT TWO
00B3  ³  SUPERSCRIPT THREE
00B4  ´  ACUTE ACCENT
00B5  µ  MICRO SIGN
00B6  ¶  PILCROW SIGN
00B7  ·  MIDDLE DOT
00B8  ¸  CEDILLA
00B9  ¹  SUPERSCRIPT ONE
00BA  º  MASCULINE ORDINAL INDICATOR
00BB  »  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
00BC  ¼  VULGAR FRACTION ONE QUARTER
00BD  ½  VULGAR FRACTION ONE HALF
00BE  ¾  VULGAR FRACTION THREE QUARTERS
00BF  ¿  INVERTED QUESTION MARK
00C0  À  LATIN CAPITAL LETTER A WITH GRAVE
00C1  Á  LATIN CAPITAL LETTER A WITH ACUTE
00C2  Â  LATIN CAPITAL LETTER A WITH CIRCUMFLEX
00C3  Ã  LATIN CAPITAL LETTER A WITH TILDE
00C4  Ä  LATIN CAPITAL LETTER A WITH DIAERESIS
00C5  Å  LATIN CAPITAL LETTER A WITH RING ABOVE
00C6  Æ  LATIN CAPITAL LETTER AE
00C7  Ç  LATIN CAPITAL LETTER C WITH CEDILLA
00C8  È  LATIN CAPITAL LETTER E WITH GRAVE
00C9  É  LATIN CAPITAL LETTER E WITH ACUTE
00CA  Ê  LATIN CAPITAL LETTER E WITH CIRCUMFLEX
00CB  Ë  LATIN CAPITAL LETTER E WITH DIAERESIS
00CC  Ì  LATIN CAPITAL LETTER I WITH GRAVE
00CD  Í  LATIN CAPITAL LETTER I WITH ACUTE
00CE  Î  LATIN CAPITAL LETTER I WITH CIRCUMFLEX
00CF  Ï  LATIN CAPITAL LETTER I WITH DIAERESIS
00D0  Ð  LATIN CAPITAL LETTER ETH
00D1  Ñ  LATIN CAPITAL LETTER N WITH TILDE
00D2  Ò  LATIN CAPITAL LETTER O WITH GRAVE
00D3  Ó  LATIN CAPITAL LETTER O WITH ACUTE
00D4  Ô  LATIN CAPITAL LETTER O WITH CIRCUMFLEX
00D5  Õ  LATIN CAPITAL LETTER O WITH TILDE
00D6  Ö  LATIN CAPITAL LETTER O WITH DIAERESIS
00D7  ×  MULTIPLICATION SIGN
00D8  Ø  LATIN CAPITAL LETTER O WITH STROKE
00D9  Ù  LATIN CAPITAL LETTER U WITH GRAVE
00DA  Ú  LATIN CAPITAL LETTER U WITH ACUTE
00DB  Û  LATIN CAPITAL LETTER U WITH CIRCUMFLEX
00DC  Ü  LATIN CAPITAL LETTER U WITH DIAERESIS
00DD  Ý  LATIN CAPITAL LETTER Y WITH ACUTE
00DE  Þ  LATIN CAPITAL LETTER THORN
00DF  ß  LATIN SMALL LETTER SHARP S
00E0  à  LATIN SMALL LETTER A WITH GRAVE
00E1  á  LATIN SMALL LETTER A WITH ACUTE
00E2  â  LATIN SMALL LETTER A WITH CIRCUMFLEX
00E3  ã  LATIN SMALL LETTER A WITH TILDE
00E4  ä  LATIN SMALL LETTER A WITH DIAERESIS
00E5  å  LATIN SMALL LETTER A WITH RING ABOVE
00E6  æ  LATIN SMALL LETTER AE
00E7  ç  LATIN SMALL LETTER C WITH CEDILLA
00E8  è  LATIN SMALL LETTER E WITH GRAVE
00E9  é  LATIN SMALL LETTER E WITH ACUTE
00EA  ê  LATIN SMALL LETTER E WITH CIRCUMFLEX
00EB  ë  LATIN SMALL LETTER E WITH DIAERESIS
00EC  ì  LATIN SMALL LETTER I WITH GRAVE
00ED  í  LATIN SMALL LETTER I WITH ACUTE
00EE  î  LATIN SMALL LETTER I WITH CIRCUMFLEX
00EF  ï  LATIN SMALL LETTER I WITH DIAERESIS
00F0  ð  LATIN SMALL LETTER ETH
00F1  ñ  LATIN SMALL LETTER N WITH TILDE
00F2  ò  LATIN SMALL LETTER O WITH GRAVE
00F3  ó  LATIN SMALL LETTER O WITH ACUTE
00F4  ô  LATIN SMALL LETTER O WITH CIRCUMFLEX
00F5  õ  LATIN SMALL LETTER O WITH TILDE
00F6  ö  LATIN SMALL LETTER O WITH DIAERESIS
00F7  ÷  DIVISION SIGN
00F8  ø  LATIN SMALL LETTER O WITH STROKE
00F9  ù  LATIN SMALL LETTER U WITH GRAVE
00FA  ú  LATIN SMALL LETTER U WITH ACUTE
00FB  û  LATIN SMALL LETTER U WITH CIRCUMFLEX
00FC  ü  LATIN SMALL LETTER U WITH DIAERESIS
00FD  ý  LATIN SMALL LETTER Y WITH ACUTE
00FE  þ  LATIN SMALL LETTER THORN
00FF  ÿ  LATIN SMALL LETTER Y WITH DIAERESIS
2010  ‐  HYPHEN
2011  ‑  NON-BREAKING HYPHEN
2012  ‒  FIGURE DASH
2013  –  EN DASH
2014  —  EM DASH
2015  ―  HORIZONTAL BAR
2016  ‖  DOUBLE VERTICAL LINE
2017  ‗  DOUBLE LOW LINE
2018  ‘  LEFT SINGLE QUOTATION MARK
2019  ’  RIGHT SINGLE QUOTATION MARK
201A  ‚  SINGLE LOW-9 QUOTATION MARK
201B  ‛  SINGLE HIGH-REVERSED-9 QUOTATION MARK
201C  “  LEFT DOUBLE QUOTATION MARK
201D  ”  RIGHT DOUBLE QUOTATION MARK
201E  „  DOUBLE LOW-9 QUOTATION MARK
201F  ‟  DOUBLE HIGH-REVERSED-9 QUOTATION MARK
2020  †  DAGGER
2021  ‡  DOUBLE DAGGER
2022  •  BULLET
2023  ‣  TRIANGULAR BULLET
2024  ․  ONE DOT LEADER
2025  ‥  TWO DOT LEADER
2026  …  HORIZONTAL ELLIPSIS
2027  ‧  HYPHENATION POINT
2030  ‰  PER MILLE SIGN
2031  ‱  PER TEN THOUSAND SIGN
2032  ′  PRIME
2033  ″  DOUBLE PRIME
2034  ‴  TRIPLE PRIME
2035  ‵  REVERSED PRIME
2036  ‶  REVERSED DOUBLE PRIME
2037  ‷  REVERSED TRIPLE PRIME
2038  ‸  CARET
2039  ‹  SINGLE LEFT-POINTING ANGLE QUOTATION MARK
203A  ›  SINGLE RIGHT-POINTING ANGLE QUOTATION MARK
203B  ※  REFERENCE MARK
203C  ‼  DOUBLE EXCLAMATION MARK
203D  ‽  INTERROBANG
203E  ‾  OVERLINE
203F  ‿  UNDERTIE
2040  ⁀  CHARACTER TIE
2041  ⁁  CARET INSERTION POINT
2042  ⁂  ASTERISM
2043  ⁃  HYPHEN BULLET
2044  ⁄  FRACTION SLASH
2045  ⁅  LEFT SQUARE BRACKET WITH QUILL
2046  ⁆  RIGHT SQUARE BRACKET WITH QUILL
2047  ⁇  DOUBLE QUESTION MARK
2048  ⁈  QUESTION EXCLAMATION MARK
2049  ⁉  EXCLAMATION QUESTION MARK
204A  ⁊  TIRONIAN SIGN ET
204B  ⁋  REVERSED PILCROW SIGN
204C  ⁌  BLACK LEFTWARDS BULLET
204D  ⁍  BLACK RIGHTWARDS BULLET
204E  ⁎  LOW ASTERISK
204F  ⁏  REVERSED SEMICOLON
2050  ⁐  CLOSE UP
2051  ⁑  TWO ASTERISKS ALIGNED VERTICALLY
2052  ⁒  COMMERCIAL MINUS SIGN
2053  ⁓  SWUNG DASH
2054  ⁔  INVERTED UNDERTIE
2055  ⁕  FLOWER PUNCTUATION MARK
2056  ⁖  THREE DOT PUNCTUATION
2057  ⁗  QUADRUPLE PRIME
2058  ⁘  FOUR DOT PUNCTUATION
2059  ⁙  FIVE DOT PUNCTUATION
205A  ⁚  TWO DOT PUNCTUATION
205B  ⁛  FOUR DOT MARK
205C  ⁜  DOTTED CROSS
205D  ⁝  TRICOLON
205E  ⁞  VERTICAL FOUR DOTS
2190  ←  LEFTWARDS ARROW
2191  ↑  UPWARDS ARROW
2192  →  RIGHTWARDS ARROW
2193  ↓  DOWNWARDS ARROW
2194  ↔  LEFT RIGHT ARROW
2195  ↕  UP DOWN ARROW
2196  ↖  NORTH WEST ARROW
2197  ↗  NORTH EAST ARROW
2198  ↘  SOUTH EAST ARROW
2199  ↙  SOUTH WEST ARROW
219A  ↚  LEFTWARDS ARROW WITH STROKE
219B  ↛  RIGHTWARDS ARROW WITH STROKE
219C  ↜  LEFTWARDS WAVE ARROW
219D  ↝  RIGHTWARDS WAVE ARROW
219E  ↞  LEFTWARDS TWO HEADED ARROW
219F  ↟  UPWARDS TWO HEADED ARROW
21A0  ↠  RIGHTWARDS TWO HEADED ARROW
21A1  ↡  DOWNWARDS TWO HEADED ARROW
21A2  ↢  LEFTWARDS ARROW WITH TAIL
21A3  ↣  RIGHTWARDS ARROW WITH TAIL
21A4  ↤  LEFTWARDS ARROW FROM BAR
21A5  ↥  UPWARDS ARROW FROM BAR
21A6  ↦  RIGHTWARDS ARROW FROM BAR
21A7  ↧  DOWNWARDS ARROW FROM BAR
21A8  ↨  UP DOWN ARROW WITH BASE
21A9  ↩  LEFTWARDS ARROW WITH HOOK
21AA  ↪  RIGHTWARDS ARROW WITH HOOK
21AB  ↫  LEFTWARDS ARROW WITH LOOP
21AC  ↬  RIGHTWARDS ARROW WITH LOOP
21AD  ↭  LEFT RIGHT WAVE ARROW
21AE  ↮  LEFT RIGHT ARROW WITH STROKE
21AF  ↯  DOWNWARDS ZIGZAG ARROW
21B0  ↰  UPWARDS ARROW WITH TIP LEFTWARDS
21B1  ↱  UPWARDS ARROW WITH TIP RIGHTWARDS
21B2  ↲  DOWNWARDS ARROW WITH TIP LEFTWARDS
21B3  ↳  DOWNWARDS ARROW WITH TIP RIGHTWARDS
21B4  ↴  RIGHTWARDS ARROW WITH CORNER DOWNWARDS
21B5  ↵  DOWNWARDS ARROW WITH CORNER LEFTWARDS
21B6  ↶  ANTICLOCKWISE TOP SEMICIRCLE ARROW
21B7  ↷  CLOCKWISE TOP SEMICIRCLE ARROW
21B8  ↸  NORTH WEST ARROW TO LONG BAR
21B9  ↹  LEFTWARDS ARROW TO BAR OVER RIGHTWARDS ARROW TO BAR
21BA  ↺  ANTICLOCKWISE OPEN CIRCLE ARROW
21BB  ↻  CLOCKWISE OPEN CIRCLE ARROW
21BC  ↼  LEFTWARDS HARPOON WITH BARB UPWARDS
21BD  ↽  LEFTWARDS HARPOON WITH BARB DOWNWARDS
21BE  ↾  UPWARDS HARPOON WITH BARB RIGHTWARDS
21BF  ↿  UPWARDS HARPOON WITH BARB LEFTWARDS
21C0  ⇀  RIGHTWARDS HARPOON WITH BARB UPWARDS
21C1  ⇁  RIGHTWARDS HARPOON WITH BARB DOWNWARDS
21C2  ⇂  DOWNWARDS HARPOON WITH BARB RIGHTWARDS
21C3  ⇃  DOWNWARDS HARPOON WITH BARB LEFTWARDS
21C4  ⇄  RIGHTWARDS ARROW OVER LEFTWARDS ARROW
21C5  ⇅  UPWARDS ARROW LEFTWARDS OF DOWNWARDS ARROW
21C6  ⇆  LEFTWARDS ARROW OVER RIGHTWARDS ARROW
21C7  ⇇  LEFTWARDS PAIRED ARROWS
21C8  ⇈  UPWARDS PAIRED ARROWS
21C9  ⇉  RIGHTWARDS PAIRED ARROWS
21CA  ⇊  DOWNWARDS PAIRED ARROWS
21CB  ⇋  LEFTWARDS HARPOON OVER RIGHTWARDS HARPOON
21CC  ⇌  RIGHTWARDS HARPOON OVER LEFTWARDS HARPOON
21CD  ⇍  LEFTWARDS DOUBLE ARROW WITH STROKE
21CE  ⇎  LEFT RIGHT DOUBLE ARROW WITH STROKE
21CF  ⇏  RIGHTWARDS DOUBLE ARROW WITH STROKE
21D0  ⇐  LEFTWARDS DOUBLE ARROW
21D1  ⇑  UPWARDS DOUBLE ARROW
21D2  ⇒  RIGHTWARDS DOUBLE ARROW
21D3  ⇓  DOWNWARDS DOUBLE ARROW
21D4  ⇔  LEFT RIGHT DOUBLE ARROW
21D5  ⇕  UP DOWN DOUBLE ARROW
21D6  ⇖  NORTH WEST DOUBLE ARROW
21D7  ⇗  NORTH EAST DOUBLE ARROW
21D8  ⇘  SOUTH EAST DOUBLE ARROW
21D9  ⇙  SOUTH WEST DOUBLE ARROW
21DA  ⇚  LEFTWARDS TRIPLE ARROW
21DB  ⇛  RIGHTWARDS TRIPLE ARROW
21DC  ⇜  LEFTWARDS SQUIGGLE ARROW
21DD  ⇝  RIGHTWARDS SQUIGGLE ARROW
21DE  ⇞  UPWARDS ARROW WITH DOUBLE STROKE
21DF  ⇟  DOWNWARDS ARROW WITH DOUBLE STROKE
21E0  ⇠  LEFTWARDS DASHED ARROW
21E1  ⇡  UPWARDS DASHED ARROW
21E2  ⇢  RIGHTWARDS DASHED ARROW
21E3  ⇣  DOWNWARDS DASHED ARROW
21E4  ⇤  LEFTWARDS ARROW TO BAR
21E5  ⇥  RIGHTWARDS ARROW TO BAR
21E6  ⇦  LEFTWARDS WHITE ARROW
21E7  ⇧  UPWARDS WHITE ARROW
21E8  ⇨  RIGHTWARDS WHITE ARROW
21E9  ⇩  DOWNWARDS WHITE ARROW
21EA  ⇪  UPWARDS WHITE ARROW FROM BAR
21EB  ⇫  UPWARDS WHITE ARROW ON PEDESTAL
21EC  ⇬  UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED  ⇭  UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
21EE  ⇮  UPWARDS WHITE DOUBLE ARROW
21EF  ⇯  UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
21F0  ⇰  RIGHTWARDS WHITE ARROW FROM WALL
21F1  ⇱  NORTH WEST ARROW TO CORNER
21F2  ⇲  SOUTH EAST ARROW TO CORNER
21F3  ⇳  UP DOWN WHITE ARROW
21F4  ⇴  RIGHT ARROW WITH SMALL CIRCLE
21F5  ⇵  DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
21F6  ⇶  THREE RIGHTWARDS ARROWS
21F7  ⇷  LEFTWARDS ARROW WITH VERTICAL STROKE
21F8  ⇸  RIGHTWARDS ARROW WITH VERTICAL STROKE
21F9  ⇹  LEFT RIGHT ARROW WITH VERTICAL STROKE
21FA  ⇺  LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FB  ⇻  RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FC  ⇼  LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
21FD  ⇽  LEFTWARDS OPEN-HEADED ARROW
21FE  ⇾  RIGHTWARDS OPEN-HEADED ARROW
21FF  ⇿  LEFT RIGHT OPEN-HEADED ARROW
2500  ─  BOX DRAWINGS LIGHT HORIZONTAL
2501  ━  BOX DRAWINGS HEAVY HORIZONTAL
2502  │  BOX DRAWINGS LIGHT VERTICAL
2503  ┃  BOX DRAWINGS HEAVY VERTICAL
2504  ┄  BOX DRAWINGS LIGHT TRIPLE DASH HORIZONTAL
2505  ┅  BOX DRAWINGS HEAVY TRIPLE DASH HORIZONTAL
2506  ┆  BOX DRAWINGS LIGHT TRIPLE DASH VERTICAL
2507  ┇  BOX DRAWINGS HEAVY TRIPLE DASH VERTICAL
2508  ┈  BOX DRAWINGS LIGHT QUADRUPLE DASH HORIZONTAL
2509  ┉  BOX DRAWINGS HEAVY QUADRUPLE DASH HORIZONTAL
250A  ┊  BOX DRAWINGS LIGHT QUADRUPLE DASH VERTICAL
250B  ┋  BOX DRAWINGS HEAVY QUADRUPLE DASH VERTICAL
250C  ┌  BOX DRAWINGS LIGHT DOWN AND RIGHT
250D  ┍  BOX DRAWINGS DOWN LIGHT AND RIGHT HEAVY
250E  ┎  BOX DRAWINGS DOWN HEAVY AND RIGHT LIGHT
250F  ┏  BOX DRAWINGS HEAVY DOWN AND RIGHT
2510  ┐  BOX DRAWINGS LIGHT DOWN AND LEFT
2511  ┑  BOX DRAWINGS DOWN LIGHT AND LEFT HEAVY
2512  ┒  BOX DRAWINGS DOWN HEAVY AND LEFT LIGHT
2513  ┓  BOX DRAWINGS HEAVY DOWN AND LEFT
2514  └  BOX DRAWINGS LIGHT UP AND RIGHT
2515  ┕  BOX DRAWINGS UP LIGHT AND RIGHT HEAVY
2516  ┖  BOX DRAWINGS UP HEAVY AND RIGHT LIGHT
2517  ┗  BOX DRAWINGS HEAVY UP AND RIGHT
2518  ┘  BOX DRAWINGS LIGHT UP AND LEFT
2519  ┙  BOX DRAWINGS UP LIGHT AND LEFT HEAVY
251A  ┚  BOX DRAWINGS UP HEAVY AND LEFT LIGHT
251B  ┛  BOX DRAWINGS HEAVY UP AND LEFT
251C  ├  BOX DRAWINGS LIGHT VERTICAL AND RIGHT
251D  ┝  BOX DRAWINGS VERTICAL LIGHT AND RIGHT HEAVY
251E  ┞  BOX DRAWINGS UP HEAVY AND RIGHT DOWN LIGHT
251F  ┟  BOX DRAWINGS DOWN HEAVY AND RIGHT UP LIGHT
2520  ┠  BOX DRAWINGS VERTICAL HEAVY AND RIGHT LIGHT
2521  ┡  BOX DRAWINGS DOWN LIGHT AND RIGHT UP HEAVY
2522  ┢  BOX DRAWINGS UP LIGHT AND RIGHT DOWN HEAVY
2523  ┣  BOX DRAWINGS HEAVY VERTICAL AND RIGHT
2524  ┤  BOX DRAWINGS LIGHT VERTICAL AND LEFT
2525  ┥  BOX DRAWINGS VERTICAL LIGHT AND LEFT HEAVY
2526  ┦  BOX DRAWINGS UP HEAVY AND LEFT DOWN LIGHT
2527  ┧  BOX DRAWINGS DOWN HEAVY AND LEFT UP LIGHT
2528  ┨  BOX DRAWINGS VERTICAL HEAVY AND LEFT LIGHT
2529  ┩  BOX DRAWINGS DOWN LIGHT AND LEFT UP HEAVY
252A  ┪  BOX DRAWINGS UP LIGHT AND LEFT DOWN HEAVY
252B  ┫  BOX DRAWINGS HEAVY VERTICAL AND LEFT
252C  ┬  BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
252D  ┭  BOX DRAWINGS LEFT HEAVY AND RIGHT DOWN LIGHT
252E  ┮  BOX DRAWINGS RIGHT HEAVY AND LEFT DOWN LIGHT
252F  ┯  BOX DRAWINGS DOWN LIGHT AND HORIZONTAL HEAVY
2530  ┰  BOX DRAWINGS DOWN HEAVY AND HORIZONTAL LIGHT
2531  ┱  BOX DRAWINGS RIGHT LIGHT AND LEFT DOWN HEAVY
2532  ┲  BOX DRAWINGS LEFT LIGHT AND RIGHT DOWN HEAVY
2533  ┳  BOX DRAWINGS HEAVY DOWN AND HORIZONTAL
2534  ┴  BOX DRAWINGS LIGHT UP AND HORIZONTAL
2535  ┵  BOX DRAWINGS LEFT HEAVY AND RIGHT UP LIGHT
2536  ┶  BOX DRAWINGS RIGHT HEAVY AND LEFT UP LIGHT
2537  ┷  BOX DRAWINGS UP LIGHT AND HORIZONTAL HEAVY
2538  ┸  BOX DRAWINGS UP HEAVY AND HORIZONTAL LIGHT
2539  ┹  BOX DRAWINGS RIGHT LIGHT AND LEFT UP HEAVY
253A  ┺  BOX DRAWINGS LEFT LIGHT AND RIGHT UP HEAVY
253B  ┻  BOX DRAWINGS HEAVY UP AND HORIZONTAL
253C  ┼  BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
253D  ┽  BOX DRAWINGS LEFT HEAVY AND RIGHT VERTICAL LIGHT
253E  ┾  BOX DRAWINGS RIGHT HEAVY AND LEFT VERTICAL LIGHT
253F  ┿  BOX DRAWINGS VERTICAL LIGHT AND HORIZONTAL HEAVY
2540  ╀  BOX DRAWINGS UP HEAVY AND DOWN HORIZONTAL LIGHT
2541  ╁  BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
2542  ╂  BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
2543  ╃  BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
2544  ╄  BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
2545  ╅  BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
2546  ╆  BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
2547  ╇  BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
2548  ╈  BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
2549  ╉  BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
254A  ╊  BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
254B  ╋  BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
254C  ╌  BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
254D  ╍  BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
254E  ╎  BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
254F  ╏  BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
2550  ═  BOX DRAWINGS DOUBLE HORIZONTAL
2551  ║  BOX DRAWINGS DOUBLE VERTICAL
2552  ╒  BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
2553  ╓  BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
2554  ╔  BOX DRAWINGS DOUBLE DOWN AND RIGHT
2555  ╕  BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
2556  ╖  BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
2557  ╗  BOX DRAWINGS DOUBLE DOWN AND LEFT
2558  ╘  BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
2559  ╙  BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
255A  ╚  BOX DRAWINGS DOUBLE UP AND RIGHT
255B  ╛  BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
255C  ╜  BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
255D  ╝  BOX DRAWINGS DOUBLE UP AND LEFT
255E  ╞  BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
255F  ╟  BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
2560  ╠  BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
2561  ╡  BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
2562  ╢  BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
2563  ╣  BOX DRAWINGS DOUBLE VERTICAL AND LEFT
2564  ╤  BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
2565  ╥  BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
2566  ╦  BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
2567  ╧  BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
2568  ╨  BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
2569  ╩  BOX DRAWINGS DOUBLE UP AND HORIZONTAL
256A  ╪  BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
256B  ╫  BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
256C  ╬  BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
256D  ╭  BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
256E  ╮  BOX DRAWINGS LIGHT ARC DOWN AND LEFT
256F  ╯  BOX DRAWINGS LIGHT ARC UP AND LEFT
2570  ╰  BOX DRAWINGS LIGHT ARC UP AND RIGHT
2571  ╱  BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
2572  ╲  BOX DRAWINGS LIGHT DIAGONAL UPPER LEFT TO LOWER RIGHT
2573  ╳  BOX DRAWINGS LIGHT DIAGONAL CROSS
2574  ╴  BOX DRAWINGS LIGHT LEFT
2575  ╵  BOX DRAWINGS LIGHT UP
